english_name,arabic_name,latitude,longitude,found_name,address
القاهرة,Cairo,30.0632299,31.2469369,Cairo,"Ramsis Square, Al Fagalah, Al Azbakeya, Cairo Governorate 4321102, Egypt"
سيدي جابر,Sidi Gaber,31.2189328,29.9424796,Sidi Gaber Railway Station,"Abou Quer, Sidi Gabir, Sidi Gaber, Alexandria Governorate 5433011, Egypt"
الاسكندرية,Alexandria,31.1935097,29.9064885,Alexandria,"Kom Ad Dakah Gharb, Al Attarin, Alexandria Governorate 5370052, Egypt"
طنطا,Tanta,30.7817567,30.9948188,محطه قطار طنطا,"محطه قطار, Tanta Qism 2, First Tanta, Gharbia Governorate 6623101, Egypt"
مرسى مطروح,Marsa Matruh,31.3487992,27.2443437,Marsa Matrouh Train Station,"Abd Al Atay Wahmah, Mersa Matruh, Marsa Matrouh Governorate 5056504, Egypt"
سملا,Samla,31.2937154,27.3326693,Mahto train Simla,"Mersa Matruh, Marsa Matrouh Governorate 5056822, Egypt"
راس الحكمة,Ras Hekmah,31.1315364,27.8338259,محطه قطار راس الحكمة,"4RJM+HGM، أبو حجاج، قسم مرسى مطروح،, Marsa Matrouh Governorate, Egypt"
فوكة,Fokah,31.0674821,27.9185081,محطة قطار فوكه,"Unnamed Road, قسم الضبعة، مطروح،, Egypt"
جلال,Galal,31.0356388,28.1812582,محطة قطار جلال,"25PJ+7F5، 25PJ+7G2، 25PJ+FC7،،، قسم الضبعة،،،، Marsa Matrouh Governorate 5002531،, Egypt"
الضبعة,Dabaa,31.0277678,28.4439331,محطة قطار الضبعة,"2CHV+4H3، Unnamed Road, قسم الضبعة، مطروح،, Ghazal, Egypt"
سيدي عبد الرحمن,Sidi Abd Rahman,30.9693229,28.7227197,Train Station Sidi Abdel Rahman,"XP9F+P3H, El Alamein, Marsa Matrouh Governorate 5062150, Egypt"
العلمين,Alamein,30.9693229,28.7227197,Train Station Sidi Abdel Rahman,"XP9F+P3H, El Alamein, Marsa Matrouh Governorate 5062150, Egypt"
العميد,Ameed,30.7896727,29.1944883,محطة قطار ساحل العميد,"Q5QV+VQ9، Q5QV+GM5،، مركز الحمام،, Marsa Matrouh Governorate 5070163،, Egypt"
الرويسات,Rowaysat,30.7606667,29.18159,محطة الرويسات,"Q56J+7J8، الرريسات, El Hamam, Marsa Matrouh Governorate 5070142, Egypt"
الحمام,Hammam,30.8394078,29.3893932,محطة قطار مدينة الحمام,"R9QQ+QQ2, Al Mahata, El Hamam, Marsa Matrouh Governorate 5075113, Egypt"
برج العرب ق,Burj Arab O,30.8557724,29.54191449999999,Borg Al Arab - Alexandria Railway Station,"Hod Sakrah WA Abu Hamad, New Borg El Arab, Alexandria Governorate 5220601, Egypt"
مطار برج العرب,Burj Arab Airport,30.9608283,29.6763621,محطة قطار مطار برج العرب - الهوارية,"XM6G+8GX برج العرب الجديدة, Bahig, Second Al Amreya, Alexandria Governorate 5244502, Egypt"
العامرية,Amreyah,31.0183325,29.7981673,Amiriya Train Station,"2Q9X+87M, Al Amrereyah Gharb, Amreya 1, Alexandria Governorate 5254501, Egypt"
محرم بك,Moharam Beek,31.1859142,29.9259475,"Moharam Bek, train station","5WPG+998, شياخة عزبة شرركس وعزبة رأفت والصبحية،, As Sabheyah WA Izbat Sharkas WA Izbat Raafat, Moharam Bek, Alexandria Governorate, Egypt"
دمنهور,Damanhour,31.0343867,30.4683887,محطة قطار دمنهور,"Platform 1 & 1A، النصر, Haret Umm Shweisha, Shobra, Damanhour, Beheira Governorate, Egypt"
ايتاي البارود,Itay Barud,30.8842193,30.6618095,محطة سكك حديد إيتاي البارود,"VMM6+MPM, Atay Al Baroud, Itay El Barud, Beheira Governorate 5775001, Egypt"
كفر الزيات,Kafr Zayat,30.8192858,30.8140668,محطه قطار كفر الزيات,"RR97+PJ8، Kafr El-Zaiat، الدلجمون، كفر الزيات،, Egypt"
بركة السبع,Berket Saba,30.6368268,31.0793037,Berket Al Sabaa Train station,"J3PH+PPM, Madinet Berkat as Sabee, Birket el Sab, Menofia Governorate 6160653, Egypt"
